Bericht:;Strom;;;;;;;;;;;;;;;;;;;;
von;01.01.2020 00:00;;;;;;;;;;;;;;;;;;;;
bis;01.01.2021 00:00;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;P4_H8_EDA;P1_H8_EDA;Z1_Bad_H8_EDA;Z1_RLT_H8_EDA;Z1_TWW_H8_EDA;Z_EV_H8_EDA;Z_H8_EDA;Z_EA_H8_EDA;;
Jahr;Monat;KW;Wo-Tag;Tag;;Uhrzeit;Stunden;Minuten;Startzeit;Endezeit;;h;h;Wh;Wh;Wh;Wh;Wh;Wh;;
;;;;;;;;;43.831,00;44.197,00; Summe ;2.168,44;860,18;2.589,00;71.069,00;1.342.913,00;3.480.987,00;5.063.331,00; -     ; -     ; -     
2020;1;1;Donnerstag;2;Do 02.01.20;12:30;12;1;02.01.2020 12:30;02.01.2020 12:45;;0,07;0,03;0;1;7;74;86;;;
2020;1;1;Donnerstag;2;Do 02.01.20;12:45;12;1;02.01.2020 12:45;02.01.2020 13:00;;0,06;0,03;0;1;6;76;89;;;
2020;1;1;Donnerstag;2;Do 02.01.20;13:00;13;1;02.01.2020 13:00;02.01.2020 13:15;;0,06;0,03;0;1;7;294;305;;;
2020;1;1;Donnerstag;2;Do 02.01.20;13:15;13;1;02.01.2020 13:15;02.01.2020 13:30;;0,06;0,03;0;1;6;205;218;;;
2020;1;1;Donnerstag;2;Do 02.01.20;13:30;13;1;02.01.2020 13:30;02.01.2020 13:45;;0,07;0,03;0;1;7;333;345;;;
2020;1;1;Donnerstag;2;Do 02.01.20;13:45;13;1;02.01.2020 13:45;02.01.2020 14:00;;0,06;0,03;0;0;6;74;86;;;
2020;1;1;Donnerstag;2;Do 02.01.20;14:00;14;1;02.01.2020 14:00;02.01.2020 14:15;;0,06;0,04;0;1;7;601;614;;;
2020;1;1;Donnerstag;2;Do 02.01.20;14:15;14;1;02.01.2020 14:15;02.01.2020 14:30;;0,06;0,03;0;1;44;289;338;;;
2020;1;1;Donnerstag;2;Do 02.01.20;14:30;14;1;02.01.2020 14:30;02.01.2020 14:45;;0,07;0,03;0;1;131;84;222;;;
2020;1;1;Donnerstag;2;Do 02.01.20;14:45;14;1;02.01.2020 14:45;02.01.2020 15:00;;0,06;0,03;0;1;137;558;702;;;
